frame,time_s,cls_name,conf,x1,y1,x2,y2
55,2.200000,tie,0.698000,354.00,74.00,373.00,127.00
79,3.160000,tie,0.399694,419.00,146.00,458.00,215.00
160,6.400000,tie,0.303792,325.00,118.00,349.00,240.00
161,6.440000,tie,0.584520,324.00,115.00,349.00,253.00
162,6.480000,tie,0.593405,324.00,119.00,345.00,253.00
163,6.520000,tie,0.615787,323.00,116.00,345.00,272.00
175,7.000000,tie,0.425746,322.00,96.00,350.00,253.00
177,7.080000,tie,0.330449,356.00,99.00,377.00,255.00
178,7.120000,tie,0.264377,356.00,99.00,376.00,255.00
181,7.240000,washer,0.297402,195.00,193.00,227.00,306.00
182,7.280000,washer,0.297402,195.00,193.00,227.00,306.00
232,9.280000,tie,0.362098,332.00,70.00,365.00,168.00
284,11.360000,tie,0.445589,46.00,214.00,72.00,360.00
288,11.520000,tie,0.600970,311.00,138.00,375.00,184.00
295,11.800000,tie,0.264527,44.00,215.00,70.00,360.00
296,11.840000,tie,0.314225,270.00,192.00,306.00,256.00
346,13.840000,brace,0.576555,335.00,82.00,367.00,171.00
351,14.040000,tie,0.362889,36.00,215.00,61.00,360.00
352,14.080000,tie,0.317517,36.00,215.00,61.00,360.00
354,14.160000,tie,0.294364,35.00,215.00,60.00,360.00
356,14.240000,tie,0.351279,35.00,215.00,60.00,360.00
357,14.280000,tie,0.294360,35.00,216.00,60.00,360.00
358,14.320000,tie,0.311358,35.00,216.00,60.00,360.00
360,14.400000,tie,0.380621,35.00,216.00,60.00,360.00
361,14.440000,tie,0.430326,34.00,216.00,60.00,360.00
362,14.480000,tie,0.570213,34.00,216.00,60.00,360.00
362,14.480000,tie,0.560145,407.00,158.00,441.00,264.00
363,14.520000,tie,0.540156,34.00,215.00,59.00,360.00
364,14.560000,tie,0.464406,34.00,216.00,59.00,360.00
365,14.600000,tie,0.533711,34.00,216.00,59.00,360.00
366,14.640000,tie,0.285692,34.00,215.00,59.00,360.00
369,14.760000,tie,0.255826,33.00,215.00,58.00,360.00
369,14.760000,tie,0.532680,407.00,153.00,439.00,264.00
372,14.880000,tie,0.389373,32.00,215.00,58.00,360.00
373,14.920000,tie,0.320345,32.00,215.00,58.00,360.00
374,14.960000,tie,0.506513,32.00,216.00,58.00,360.00
376,15.040000,tie,0.366652,32.00,216.00,57.00,360.00
377,15.080000,tie,0.288827,32.00,216.00,57.00,360.00
379,15.160000,tie,0.267617,32.00,216.00,56.00,360.00
380,15.200000,tie,0.254855,32.00,216.00,56.00,360.00
381,15.240000,tie,0.483661,407.00,154.00,437.00,262.00
382,15.280000,tie,0.329899,31.00,216.00,56.00,360.00
383,15.320000,tie,0.328167,31.00,216.00,56.00,360.00
388,15.520000,tie,0.282681,332.00,126.00,397.00,171.00
406,16.240000,tie,0.264638,28.00,215.00,53.00,357.00
440,17.600000,tie,0.587558,322.00,68.00,361.00,149.00
441,17.640000,tie,0.632295,322.00,68.00,361.00,149.00
442,17.680000,tie,0.630071,322.00,67.00,361.00,149.00
443,17.720000,tie,0.721576,322.00,67.00,361.00,149.00
444,17.760000,tie,0.603163,322.00,67.00,361.00,149.00
445,17.800000,tie,0.678041,322.00,67.00,361.00,149.00
446,17.840000,tie,0.678767,321.00,67.00,361.00,149.00
447,17.880000,tie,0.559759,321.00,67.00,361.00,150.00
448,17.920000,tie,0.557460,321.00,67.00,361.00,150.00
449,17.960000,tie,0.434140,392.00,86.00,424.00,149.00
450,18.000000,tie,0.269899,392.00,86.00,425.00,150.00
466,18.640000,tie,0.285293,400.00,85.00,444.00,262.00
467,18.680000,tie,0.300431,400.00,85.00,444.00,262.00
468,18.720000,tie,0.307789,312.00,66.00,360.00,156.00
472,18.880000,tie,0.318293,331.00,66.00,359.00,127.00
473,18.920000,tie,0.280604,402.00,86.00,447.00,263.00
473,18.920000,tie,0.306953,331.00,66.00,359.00,127.00
474,18.960000,tie,0.384463,403.00,86.00,447.00,263.00
474,18.960000,tie,0.323258,309.00,94.00,337.00,200.00
475,19.000000,tie,0.455330,310.00,96.00,337.00,167.00
478,19.120000,tie,0.319701,312.00,99.00,341.00,156.00
479,19.160000,tie,0.451219,312.00,99.00,337.00,156.00
492,19.680000,tie,0.256800,15.00,214.00,39.00,356.00
498,19.920000,tie,0.358830,14.00,215.00,39.00,360.00
498,19.920000,tie,0.403896,413.00,145.00,448.00,211.00
502,20.080000,tie,0.296116,302.00,156.00,326.00,289.00
507,20.280000,tie,0.650105,414.00,146.00,446.00,213.00
510,20.400000,tie,0.450384,301.00,68.00,337.00,246.00
512,20.480000,tie,0.580654,317.00,69.00,338.00,157.00
513,20.520000,tie,0.378803,317.00,69.00,338.00,154.00
514,20.560000,tie,0.338243,319.00,69.00,338.00,150.00
515,20.600000,tie,0.445002,313.00,68.00,338.00,145.00
525,21.000000,tie,0.355194,304.00,65.00,357.00,160.00
526,21.040000,tie,0.753525,311.00,65.00,357.00,150.00
527,21.080000,tie,0.619704,318.00,65.00,357.00,155.00
537,21.480000,tie,0.276090,23.00,189.00,53.00,224.00
539,21.560000,tie,0.297663,274.00,196.00,303.00,264.00
540,21.600000,tie,0.303549,275.00,196.00,302.00,264.00
543,21.720000,tie,0.293884,22.00,189.00,50.00,224.00
544,21.760000,tie,0.316070,22.00,189.00,50.00,224.00
545,21.800000,tie,0.355493,22.00,189.00,50.00,224.00
546,21.840000,tie,0.324748,275.00,197.00,302.00,263.00
546,21.840000,tie,0.403868,22.00,189.00,49.00,225.00
547,21.880000,tie,0.336947,21.00,190.00,48.00,225.00
548,21.920000,tie,0.418792,275.00,197.00,302.00,263.00
568,22.720000,tie,0.253380,299.00,113.00,329.00,171.00
