frame,time_s,cls_name,conf,x1,y1,x2,y2
2,0.080000,tie,0.445367,433.00,178.00,454.00,222.00
3,0.120000,tie,0.468381,432.00,167.00,459.00,222.00
74,2.960000,tie,0.434913,430.00,150.00,458.00,215.00
75,3.000000,tie,0.417727,428.00,150.00,458.00,215.00
82,3.280000,tie,0.270038,419.00,142.00,458.00,215.00
112,4.480000,tie,0.282031,426.00,154.00,455.00,219.00
113,4.520000,tie,0.271882,425.00,154.00,455.00,218.00
153,6.120000,tie,0.287061,325.00,80.00,368.00,247.00
159,6.360000,mask,0.463659,168.00,77.00,287.00,360.00
160,6.400000,mask,0.831141,168.00,77.00,297.00,360.00
161,6.440000,mask,0.653986,168.00,78.00,299.00,360.00
162,6.480000,mask,0.390206,168.00,79.00,303.00,360.00
163,6.520000,mask,0.390650,168.00,80.00,305.00,360.00
164,6.560000,mask,0.474265,168.00,80.00,305.00,360.00
165,6.600000,mask,0.507551,166.00,81.00,308.00,360.00
166,6.640000,mask,0.575604,166.00,80.00,308.00,360.00
167,6.680000,mask,0.496429,166.00,80.00,309.00,360.00
168,6.720000,mask,0.460026,165.00,79.00,307.00,360.00
169,6.760000,mask,0.459079,165.00,79.00,304.00,360.00
170,6.800000,mask,0.419883,174.00,79.00,309.00,342.00
171,6.840000,mask,0.749494,175.00,79.00,309.00,342.00
172,6.880000,mask,0.424846,175.00,78.00,309.00,353.00
173,6.920000,mask,0.707805,195.00,78.00,313.00,342.00
174,6.960000,mask,0.525041,195.00,78.00,313.00,342.00
175,7.000000,mask,0.380929,195.00,78.00,315.00,341.00
176,7.040000,mask,0.523086,225.00,78.00,316.00,342.00
176,7.040000,tie,0.449574,323.00,80.00,366.00,253.00
177,7.080000,mask,0.560596,224.00,78.00,366.00,339.00
178,7.120000,mask,0.524728,224.00,74.00,366.00,339.00
179,7.160000,mask,0.686132,224.00,74.00,352.00,339.00
180,7.200000,mask,0.473112,232.00,81.00,314.00,339.00
181,7.240000,mask,0.509759,224.00,81.00,313.00,339.00
181,7.240000,tie,0.795600,323.00,70.00,376.00,255.00
182,7.280000,mask,0.704239,225.00,81.00,312.00,339.00
184,7.360000,tie,0.561724,321.00,69.00,376.00,254.00
185,7.400000,mask,0.298636,232.00,80.00,308.00,339.00
186,7.440000,tie,0.427086,305.00,68.00,356.00,285.00
191,7.640000,mask,0.265818,234.00,72.00,308.00,334.00
192,7.680000,mask,0.360848,235.00,72.00,307.00,334.00
193,7.720000,mask,0.306028,236.00,67.00,308.00,326.00
196,7.840000,mask,0.319686,236.00,67.00,312.00,325.00
197,7.880000,mask,0.271698,236.00,67.00,307.00,325.00
200,8.000000,mask,0.659921,228.00,67.00,376.00,325.00
201,8.040000,mask,0.504827,228.00,67.00,375.00,325.00
204,8.160000,mask,0.399151,228.00,67.00,375.00,319.00
206,8.240000,mask,0.255311,227.00,67.00,388.00,319.00
218,8.720000,tie,0.543400,352.00,98.00,390.00,197.00
219,8.760000,tie,0.532323,352.00,98.00,390.00,197.00
220,8.800000,tie,0.366956,352.00,98.00,390.00,194.00
222,8.880000,tie,0.367300,352.00,98.00,390.00,185.00
232,9.280000,tie,0.454904,332.00,70.00,365.00,168.00
233,9.320000,tie,0.293843,332.00,70.00,365.00,168.00
234,9.360000,tie,0.368470,332.00,70.00,365.00,168.00
235,9.400000,tie,0.519413,332.00,70.00,365.00,168.00
236,9.440000,mask,0.353196,257.00,71.00,334.00,314.00
251,10.040000,tie,0.301318,272.00,72.00,314.00,143.00
253,10.120000,tie,0.251907,272.00,72.00,314.00,140.00
256,10.240000,tie,0.347218,269.00,71.00,314.00,128.00
260,10.400000,tie,0.350020,268.00,68.00,314.00,129.00
268,10.720000,tie,0.557427,308.00,137.00,363.00,190.00
288,11.520000,tie,0.761071,311.00,138.00,375.00,184.00
291,11.640000,tie,0.324987,277.00,87.00,317.00,157.00
292,11.680000,tie,0.545501,311.00,129.00,382.00,197.00
331,13.240000,beam,0.349758,319.00,72.00,446.00,289.00
332,13.280000,beam,0.472570,319.00,72.00,446.00,289.00
334,13.360000,beam,0.298675,320.00,84.00,446.00,289.00
