frame,time_s,track_id,cls_id,cls_name,conf,x1,y1,x2,y2
0,0.000000,1,0,person,0.893081,308.38,67.59,395.18,292.80
0,0.000000,2,76,gloves,0.872327,432.01,197.66,447.78,223.64
0,0.000000,3,0,person,0.863808,407.31,87.82,463.12,295.65
0,0.000000,4,2,helmet,0.810272,422.94,88.00,456.77,112.36
0,0.000000,5,2,helmet,0.799993,346.74,68.44,373.62,87.57
0,0.000000,6,7,ladder,0.738854,244.81,71.66,363.96,310.00
0,0.000000,7,76,gloves,0.709893,372.49,153.82,382.53,167.08
0,0.000000,8,26,shovel,0.280674,231.13,243.88,250.20,295.39
0,0.000000,9,36,trash can,0.255887,527.75,282.49,550.20,360.00
1,0.040000,1,0,person,0.893085,308.38,67.59,395.18,292.80
1,0.040000,2,76,gloves,0.872327,432.01,197.66,447.78,223.64
1,0.040000,3,0,person,0.863808,407.31,87.82,463.12,295.65
1,0.040000,4,2,helmet,0.810272,422.94,88.00,456.77,112.36
1,0.040000,5,2,helmet,0.799993,346.74,68.44,373.62,87.57
1,0.040000,6,7,ladder,0.738874,244.81,71.66,363.96,310.00
1,0.040000,7,76,gloves,0.709891,372.49,153.82,382.53,167.08
1,0.040000,8,26,shovel,0.280654,231.12,243.88,250.20,295.39
1,0.040000,9,36,trash can,0.255887,527.75,282.49,550.20,360.00
2,0.080000,1,0,person,0.893219,308.28,67.59,395.08,292.81
2,0.080000,2,76,gloves,0.872340,431.69,197.75,447.34,223.53
2,0.080000,3,0,person,0.867883,407.25,87.95,463.04,295.72
2,0.080000,4,2,helmet,0.807890,422.83,87.99,456.60,112.31
2,0.080000,5,2,helmet,0.800154,346.74,68.44,373.62,87.57
2,0.080000,6,7,ladder,0.738653,244.82,71.66,363.97,310.00
2,0.080000,7,76,gloves,0.708983,372.49,153.82,382.53,167.08
2,0.080000,8,26,shovel,0.281521,231.12,243.88,250.20,295.38
2,0.080000,9,36,trash can,0.313490,527.79,282.45,550.25,360.00
3,0.120000,1,0,person,0.893483,308.27,67.60,395.07,292.80
3,0.120000,2,76,gloves,0.867140,431.47,197.72,446.99,223.30
3,0.120000,3,0,person,0.865004,407.03,88.09,462.76,295.72
3,0.120000,4,2,helmet,0.817416,422.83,88.01,456.61,112.34
3,0.120000,5,2,helmet,0.800080,346.73,68.44,373.63,87.57
3,0.120000,6,7,ladder,0.735750,244.76,71.44,363.98,309.93
3,0.120000,7,76,gloves,0.711153,372.49,153.81,382.54,167.09
3,0.120000,8,26,shovel,0.294210,231.14,243.88,250.21,295.39
3,0.120000,9,36,trash can,0.391636,527.57,282.39,550.03,360.00
4,0.160000,1,0,person,0.887712,307.88,67.65,394.70,292.81
4,0.160000,2,76,gloves,0.870090,431.22,197.62,446.50,222.76
4,0.160000,3,0,person,0.862386,406.86,88.00,462.57,295.73
4,0.160000,4,2,helmet,0.811518,422.71,88.00,456.43,112.28
4,0.160000,5,2,helmet,0.804405,346.77,68.46,373.67,87.60
4,0.160000,6,7,ladder,0.733743,244.71,71.50,363.91,309.93
4,0.160000,7,76,gloves,0.709848,372.49,153.82,382.54,167.09
4,0.160000,8,26,shovel,0.264492,231.09,243.89,250.17,295.39
4,0.160000,9,36,trash can,0.445222,527.46,282.35,549.89,360.00
5,0.200000,1,0,person,0.882985,307.72,67.72,394.60,292.81
5,0.200000,2,76,gloves,0.877299,430.88,197.54,445.98,222.33
5,0.200000,3,0,person,0.855192,406.60,88.06,462.24,295.71
5,0.200000,4,2,helmet,0.803372,422.46,87.99,456.08,112.21
5,0.200000,5,2,helmet,0.802755,347.07,68.51,373.71,87.44
5,0.200000,6,7,ladder,0.734023,244.62,71.41,363.86,309.93
5,0.200000,7,76,gloves,0.716596,372.50,153.83,382.55,167.10
5,0.200000,8,26,shovel,0.262476,231.07,243.89,250.15,295.39
5,0.200000,9,36,trash can,0.497995,527.29,282.34,549.68,360.00
6,0.240000,1,0,person,0.881012,307.48,67.75,394.46,292.79
6,0.240000,2,76,gloves,0.859808,430.65,197.33,445.57,221.74
6,0.240000,3,0,person,0.848603,406.50,87.92,462.09,295.66
6,0.240000,4,2,helmet,0.803834,422.17,87.98,455.87,112.29
6,0.240000,5,2,helmet,0.801297,346.97,68.47,373.80,87.52
6,0.240000,6,7,ladder,0.733990,244.43,71.38,363.70,309.94
6,0.240000,7,76,gloves,0.721162,372.50,153.83,382.55,167.11
6,0.240000,8,26,shovel,0.285704,230.89,243.95,249.94,295.37
6,0.240000,9,36,trash can,0.515108,527.26,282.33,549.62,360.00
7,0.280000,1,0,person,0.880428,307.39,67.76,394.48,292.80
7,0.280000,2,76,gloves,0.861056,430.33,197.26,445.13,221.30
7,0.280000,3,0,person,0.856359,406.44,87.84,461.97,295.66
7,0.280000,4,2,helmet,0.806947,422.06,87.99,455.74,112.31
7,0.280000,5,2,helmet,0.800746,346.92,68.46,373.84,87.56
7,0.280000,6,7,ladder,0.733424,244.36,71.41,363.63,309.94
7,0.280000,7,76,gloves,0.715029,372.50,153.83,382.55,167.11
7,0.280000,8,26,shovel,0.280243,230.83,243.97,249.85,295.37
7,0.280000,9,36,trash can,0.441427,527.16,282.28,549.48,360.00
8,0.320000,1,0,person,0.877049,306.63,67.75,393.96,292.77
8,0.320000,2,76,gloves,0.874914,430.04,196.67,445.19,221.07
8,0.320000,3,0,person,0.846802,406.28,87.71,461.74,295.66
8,0.320000,4,2,helmet,0.804552,421.85,87.99,455.31,112.17
8,0.320000,5,2,helmet,0.802032,346.90,68.44,373.87,87.56
8,0.320000,6,7,ladder,0.731604,244.19,71.50,363.44,309.98
8,0.320000,7,76,gloves,0.713534,372.31,153.80,382.44,167.18
8,0.320000,9,36,trash can,0.454523,526.96,282.23,549.21,360.00
9,0.360000,1,0,person,0.879455,306.86,67.82,394.28,292.78
9,0.360000,2,76,gloves,0.888281,430.21,196.31,445.74,221.13
9,0.360000,3,0,person,0.835416,406.07,87.36,461.52,295.58
9,0.360000,4,2,helmet,0.791897,421.86,87.97,454.64,111.66
9,0.360000,5,2,helmet,0.796250,347.08,68.55,373.78,87.43
9,0.360000,6,7,ladder,0.735268,244.12,71.56,363.35,309.96
9,0.360000,7,76,gloves,0.703685,372.23,153.76,382.40,167.21
9,0.360000,9,36,trash can,0.549945,526.85,282.22,549.03,360.00
10,0.400000,1,0,person,0.880324,306.91,67.83,394.45,292.80
10,0.400000,2,76,gloves,0.888571,430.46,195.91,446.32,221.12
10,0.400000,3,0,person,0.834420,405.89,87.37,461.23,295.55
10,0.400000,4,2,helmet,0.770256,421.95,88.18,453.71,111.07
10,0.400000,5,2,helmet,0.793936,347.14,68.58,373.71,87.33
10,0.400000,6,7,ladder,0.732894,244.14,71.71,363.31,309.95
10,0.400000,7,76,gloves,0.704171,372.21,153.75,382.38,167.21
10,0.400000,9,36,trash can,0.391762,526.80,282.23,548.89,360.00
11,0.440000,1,0,person,0.877875,306.64,67.84,394.34,292.78
11,0.440000,2,76,gloves,0.892784,431.01,195.77,447.05,221.23
11,0.440000,3,0,person,0.835470,405.71,87.27,461.01,295.61
11,0.440000,4,2,helmet,0.771199,421.86,88.16,453.64,111.06
11,0.440000,5,2,helmet,0.796703,347.11,68.61,373.72,87.34
11,0.440000,6,7,ladder,0.730870,244.07,71.58,363.30,309.95
11,0.440000,7,76,gloves,0.720461,372.21,153.76,382.37,167.22
11,0.440000,9,36,trash can,0.463813,526.82,282.09,548.82,360.00
12,0.480000,1,0,person,0.878301,306.48,67.75,394.37,292.74
12,0.480000,2,76,gloves,0.869526,431.65,195.83,447.73,221.37
12,0.480000,3,0,person,0.836204,405.71,87.33,460.89,295.61
12,0.480000,4,2,helmet,0.742778,421.78,88.17,452.46,110.17
12,0.480000,5,2,helmet,0.799501,347.00,68.48,373.82,87.33
12,0.480000,6,7,ladder,0.722229,243.98,71.55,363.27,310.01
12,0.480000,7,76,gloves,0.724648,372.22,153.76,382.36,167.21
12,0.480000,9,36,trash can,0.427920,526.68,282.17,548.60,360.00
13,0.520000,1,0,person,0.883486,306.73,67.70,394.67,292.72
13,0.520000,2,76,gloves,0.866197,432.05,195.73,448.07,221.20
13,0.520000,3,0,person,0.832534,405.63,87.42,460.69,295.61
13,0.520000,4,2,helmet,0.739286,421.46,88.26,451.75,109.92
13,0.520000,5,2,helmet,0.803303,346.78,68.49,373.83,87.50
13,0.520000,6,7,ladder,0.737774,244.04,71.79,363.23,309.96
13,0.520000,7,76,gloves,0.715157,372.06,153.69,382.24,167.19
13,0.520000,9,36,trash can,0.368463,526.48,282.04,548.33,360.00
14,0.560000,1,0,person,0.883331,306.82,67.68,394.79,292.70
14,0.560000,2,76,gloves,0.876430,432.07,195.65,448.09,221.15
14,0.560000,3,0,person,0.834674,405.51,87.35,460.48,295.61
14,0.560000,4,2,helmet,0.775300,420.86,88.12,451.50,110.01
14,0.560000,5,2,helmet,0.808098,346.69,68.50,373.84,87.57
14,0.560000,6,7,ladder,0.728337,244.05,71.95,363.21,309.95
14,0.560000,7,76,gloves,0.717920,372.00,153.67,382.19,167.19
14,0.560000,9,36,trash can,0.349551,526.44,281.99,548.19,360.00
15,0.600000,1,0,person,0.884522,306.71,67.68,394.69,292.65
15,0.600000,2,76,gloves,0.896404,431.64,195.57,447.67,220.99
15,0.600000,3,0,person,0.837301,405.42,87.65,460.26,295.64
15,0.600000,4,2,helmet,0.795808,420.43,88.22,452.05,110.98
15,0.600000,5,2,helmet,0.816847,346.61,68.50,373.83,87.62
15,0.600000,6,7,ladder,0.738475,243.96,72.14,363.03,309.90
15,0.600000,7,76,gloves,0.727215,371.99,153.65,382.18,167.19
15,0.600000,9,36,trash can,0.339975,526.41,282.12,548.01,360.00
16,0.640000,1,0,person,0.885202,306.63,67.67,394.65,292.68
16,0.640000,2,76,gloves,0.904567,431.27,194.97,447.66,221.20
16,0.640000,3,0,person,0.858637,405.62,88.18,460.19,295.67
16,0.640000,4,2,helmet,0.786185,419.83,88.52,451.56,111.51
16,0.640000,5,2,helmet,0.808185,346.57,68.49,373.82,87.64
16,0.640000,6,7,ladder,0.725830,243.81,72.07,362.90,309.84
16,0.640000,7,76,gloves,0.710650,371.95,153.85,381.97,167.13
16,0.640000,9,36,trash can,0.452808,526.38,282.28,547.87,360.00
17,0.680000,1,0,person,0.891587,307.23,67.79,394.92,292.25
17,0.680000,2,76,gloves,0.889422,431.67,194.66,448.05,221.27
17,0.680000,3,0,person,0.849351,405.24,87.69,459.86,295.57
17,0.680000,4,2,helmet,0.789426,419.36,88.26,450.72,111.13
17,0.680000,5,2,helmet,0.805148,346.52,68.64,373.82,87.82
17,0.680000,6,7,ladder,0.755320,243.85,71.77,363.06,309.85
17,0.680000,7,76,gloves,0.724142,372.03,154.09,381.91,167.13
17,0.680000,9,36,trash can,0.411312,526.43,282.17,547.83,360.00
18,0.720000,1,0,person,0.891155,307.22,67.85,394.74,292.19
18,0.720000,2,76,gloves,0.872466,431.99,194.36,448.54,221.81
18,0.720000,3,0,person,0.869958,405.00,87.54,459.64,295.52
18,0.720000,4,2,helmet,0.791309,418.98,88.19,450.35,111.20
