frame,time_s,track_id,cls_id,cls_name,conf,x1,y1,x2,y2
0,0.000000,,0,person,0.807248,349.11,123.95,404.09,254.12
0,0.000000,,2,helmet,0.744825,203.52,164.27,228.92,188.25
0,0.000000,,0,person,0.700859,194.27,163.99,264.62,291.85
0,0.000000,,0,person,0.626445,189.77,35.56,246.22,155.59
0,0.000000,,76,gloves,0.603624,221.82,89.29,230.31,106.37
0,0.000000,,0,person,0.520391,302.06,0.22,332.23,26.07
0,0.000000,,76,gloves,0.486693,255.84,202.98,264.84,217.00
0,0.000000,,2,helmet,0.466430,190.60,36.14,208.93,51.51
0,0.000000,,76,gloves,0.423730,196.31,222.71,206.13,235.98
1,0.033333,1993,0,person,0.810222,349.47,122.91,404.95,254.27
1,0.033333,1994,2,helmet,0.763917,205.52,164.88,230.62,188.58
1,0.033333,1995,0,person,0.638815,195.95,164.58,266.23,292.32
1,0.033333,1996,0,person,0.687296,190.35,35.95,247.18,156.80
1,0.033333,1997,76,gloves,0.636547,222.43,89.69,230.88,106.67
1,0.033333,1998,0,person,0.397850,302.82,0.25,333.91,26.90
1,0.033333,1999,76,gloves,0.574313,257.02,203.95,266.08,218.07
1,0.033333,2000,2,helmet,0.539532,190.92,36.52,209.19,51.83
1,0.033333,2001,76,gloves,0.597893,197.99,223.20,208.22,237.03
2,0.066667,1993,0,person,0.789234,350.35,121.48,406.04,253.41
2,0.066667,1994,2,helmet,0.787624,207.93,166.12,232.86,189.65
2,0.066667,1995,0,person,0.656689,199.04,165.84,268.65,292.34
2,0.066667,1996,0,person,0.616803,191.16,36.48,248.08,157.49
2,0.066667,1997,76,gloves,0.625821,223.01,89.62,231.67,107.02
2,0.066667,1998,0,person,0.558049,303.34,0.22,335.60,27.91
2,0.066667,2000,2,helmet,0.479045,192.03,36.87,209.49,51.50
2,0.066667,2001,76,gloves,0.444454,200.01,224.24,209.95,237.72
2,0.066667,2002,0,person,0.493569,601.13,148.40,640.00,261.68
3,0.100000,1993,0,person,0.791489,351.35,121.09,406.86,252.67
3,0.100000,1994,2,helmet,0.796294,209.06,166.66,234.25,190.43
3,0.100000,1995,0,person,0.687249,200.88,166.26,270.21,292.22
3,0.100000,1996,0,person,0.593761,191.92,37.15,248.76,157.90
3,0.100000,1997,76,gloves,0.466747,223.71,89.96,232.39,107.39
3,0.100000,1998,0,person,0.493415,303.58,0.14,336.50,28.46
3,0.100000,2000,2,helmet,0.550678,192.09,37.58,210.69,53.19
3,0.100000,2001,76,gloves,0.465957,202.23,224.42,212.89,238.83
3,0.100000,2002,0,person,0.609315,600.61,146.50,640.00,261.85
3,0.100000,2003,76,gloves,0.582954,261.00,208.39,269.91,221.84
4,0.133333,1993,0,person,0.802606,351.61,118.92,407.45,251.42
4,0.133333,1994,2,helmet,0.705829,210.89,167.99,236.11,191.79
4,0.133333,1995,0,person,0.717038,203.01,167.91,271.61,292.50
4,0.133333,1996,0,person,0.595381,192.06,37.34,248.90,157.97
4,0.133333,1997,76,gloves,0.479988,224.16,89.93,232.92,107.46
4,0.133333,2000,2,helmet,0.559772,192.15,37.74,211.28,53.82
4,0.133333,2001,76,gloves,0.376044,203.74,224.90,214.42,239.36
4,0.133333,2002,0,person,0.623857,600.29,144.56,640.00,261.86
4,0.133333,2003,76,gloves,0.610592,262.00,209.64,271.37,223.78
5,0.166667,1993,0,person,0.796553,351.54,116.10,408.06,250.47
5,0.166667,1994,2,helmet,0.611447,213.05,170.09,237.62,193.20
5,0.166667,1995,0,person,0.613459,205.18,169.81,275.36,297.17
